ID,Nombre,Grado,pag,Sector,Grado estandarizado
1, menos roko + roca,6a+,207,Las Palomas,6a+
2,Agüita!!,7a+,88,Arico,7a+
3,Ay chiquilla!,7a,78,Arico,7a
4,¡Cállate y escala!,6c+/+,113,La Fuente,6C
5,¡Vamos Yeri!,6a,47,Tamadaya,6a
6,Trajiste el 4?,V+,46,Tamadaya,V+
7,"13-14, La",6c/+,172,Zona Zero,6C
8,"3P, Los",V,217,La Martela,V
9,"38, La",6c,171,Zona Zero,6c
10,"4° Chakra, El",7a+,248,El Capricho,7a+
11,5.12a,6c+,235,Guaria,6c+
12,"5° de Manolito, El",6b+,29,Fasnia,6b+
13,6a+ o mas,6b+,39,La Galería,6b+
14,A la quinta el V,V+,188,Las Barbas de San Pedro,V+
15,A la sombra de Magec,6c,196,Las Vegas,6c
16,A la sombra del almácigo,6b,221,La Martela,6b
17,A lanjarón por un jamón,6a+,72,Arico,6a+
18,A pesar de...,6b+,211,Las Palomas,6b+
19,A punto de ebullición,6a,79,Arico,6a
20,A saco Paco,7b,99,Arico,7b
21,A simple vista,7a,61,Planeta Zarza,7a
22,A tomar por culo,7b+,154,El Río,7b+
23,"Aaaashh, 2014?",6a,186,Las Barbas de San Pedro,6a
24,Abandonado por la adherencia,6a+,179,Las Barbas de San Pedro,6a+
25,"Abejaruco, El",6b+,106,Los Naranjos,6b+
26,Abejas asesinas,6b,27,Fasnia,6b
27,Abuaj!! El diablo,7b+,88,Arico,7b+
28,Acción-reacción,7c+/+,154,El Río,7C
29,"Acebuche, El",V-,159,El Río,V-
30,Aceitunas,6c,73,Arico,6c
31,Acoso anal,6b,199,Las Vegas,6b
32,Adaptarse o morir,6a+,198,Las Vegas,6a+
33,Adargoma,7b+,235,Guaria,7b+
34,Adelante gachetobrazo,6c+,129,Fantasma,6c+
35,Adiós pico pato,6a+,217,La Martela,6a+
36,"Adonis, El",6b,61,Planeta Zarza,6b
37,Afán de protagonismo,6b,24,Fasnia,6b
38,Agárramela bien,6c,89,Arico,6c
39,Agente naranja,6c,145,Hoyo,6c
40,Ahi estás en mal sitio,6b,182,Las Barbas de San Pedro,6b
41,Al final voló,V,207,Las Palomas,V
42,Al huerto,6b,93,Arico,6b
43,Al loro con el berolo,V+,143,Hoyo,V+
44,Al natural,V+,220,La Martela,V+
45,Al pil pil,6b,159,El Río,6b
46,Alcohol etilico,"7c,6c",240,Guaria,"7c,6c"
47,"Alfombra voladora, La",V+/+,247,El Capricho,V+
48,Alfred J.Kwac,7a,87,Arico,7a
49,Algo decente,6b+,262,El Capricho,6b+
50,Alguien palmó,6b,75,Arico,6b
51,Alguien voló sobre el ..,8a,77,Arico,8a
52,Alienigena,V,49,Tamadaya,V
53,Alli no es mejor que aqui,7C,172,Zona Zero,7C
54,Alma de doble filo,6a+,48,Tamadaya,6a+
55,Alpinistas de las aristas,6a+,106,Los Naranjos,6a+
56,Alta traición,7a,237,Guaria,7a
57,Alucina con mi vecina,6c,75,Arico,6c
58,Alucines power,6b,105,Los Naranjos,6b
59,Alzheimer total,6b+,116,La Fuente,6b+
60,Amistad,6b,50,Tamadaya,6b
61,Amistades peligrosas,iv+,249,El Capricho,iv+
62,Análisis final,7a,99,Arico,7a
63,Anarkia en el planeta,7a,75,Arico,7a
64,Anarkia en el sector,7c+,39,La Galería,7c+
65,Anarkia tropical,7c+,156,El Río,7c+
66,Ancas de rana,6c,129,Fantasma,6c
67,Andrés pruébala otra vez,8a,257,El Capricho,8a
68,Anikilator,7b,91,Arico,7b
69,Anmarillo,6b,255,El Capricho,6b
70,Apreta,7b,81,Arico,7b
71,Apreta o retirate,¿?,141,Hoyo,NA
72,Aquí no hay V pa'nadie,6a+/+,188,Las Barbas de San Pedro,6A+
73,"Araucaria, La",6a,59,Planeta Zarza,6a
74,"Arbolito, El",V,51,Tamadaya,V
75,"Arbolito, El",6c+,145,Hoyo,6c+
76,Arco de Achacay. El,6b+,27,Fasnia,6b+
77,Argollita chachi,6b,262,El Capricho,6b
78,Argollita chunga,6c+,262,El Capricho,6c+
79,Arico power,8a,91,Arico,8a
80,Arizona,6b+,141,Hoyo,6b+
81,Aroa,6a+,145,Hoyo,6a+
82,Arrimate pa’lla,7a,162,El Río,7a
83,Arroyito,6b+/+,173,Zona Zero,6B+
84,Artificial,¿?,254,El Capricho,NA
85,Artificial Ruso-Ruyman,¿?,239,Guaria,NA
86,Artifo Triple cero,V+,188,Las Barbas de San Pedro,V+
87,Asi pone el ayuntamiento...,V-,124,Fantasma,V-
88,Asin no,6a,255,El Capricho,6a
89,Asoma la cabecita,6b,31,Fasnia,6b
90,"Aspirina, La",¿?,76,Arico,NA
91,Ataud pa'seis,6c+,89,Arico,6c+
92,ATP,8a,141,Hoyo,8a
93,Atrapado en la noche,7a,97,Arico,7a
94,Aureola no me toques la pirola,6c+,251,El Capricho,6c+
95,Aussie Oi,V-,45,Tamadaya,V-
96,Auto-confianza,6c+,23,Fasnia,6c+
97,Autoexpansivo,6C,93,Arico,6C
98,Avispate!! uña negra,7a,89,Arico,7a
99,Awanac,6c,197,Las Vegas,6c
100,Ayla y su Clan,6b+/+,185,Las Barbas de San Pedro,6B+
101,Babylon,7b+,63,Planeta Zarza,7b+
102,Ballando sobre el canal,6b,105,Los Naranjos,6b
103,Baile de salón,6C,197,Las Vegas,6C
104,Balate strong,6c,93,Arico,6c
105,Balcón Canario,v+,199,Las Vegas,v+
106,Bananas,7b,260,El Capricho,7b
107,"Banda del cojo, La",6c+,76,Arico,6c+
108,"Bañera asesina, La",6c+,173,Zona Zero,6c+
109,Barrio conflictivo,6b,87,Arico,6b
110,"Basca ataca duro, La",6c+,89,Arico,6c+
111,Batracio,6b+,84,Arico,6b+
112,Bautizo tardio,6a+,179,Las Barbas de San Pedro,6a+
113,Bavaresa,V,255,El Capricho,V
114,"Bavaresa me tiro, La",6a+,51,Tamadaya,6a+
115,Bavaresing,V,61,Planeta Zarza,V
116,Bazuka pum,7b+,230,Guaria,7b+
117,"Becaria, La",V,125,Fantasma,V
118,Behind the musgo,6c/+,173,Zona Zero,6C
119,Berberechos al natural,6c+,81,Arico,6c+
120,"Bichorro, El",6b,72,Arico,6b
121,Bienvenido a Guaria,"7a,7b",235,Guaria,"7a,7b"
122,Big dimensions,8a+,38,La Galería,8a+
123,Big Fantasy,6c+,63,Planeta Zarza,6c+
124,Bioblast,7b+,257,El Capricho,7b+
125,"Bisteles de Isabel, Los",6c,28,Fasnia,6c
126,Bitelchus,6c,255,El Capricho,6c
127,Black day,6c,99,Arico,6c
128,Bloque,V+,95,Arico,V+
129,Bloque,6b+,254,El Capricho,6b+
130,Bloque +85,8a+,77,Arico,8a+
131,Bobo,6a,260,El Capricho,6a
132,Boncho en Las Américas,6b,263,El Capricho,6b
133,Botones Ecrin,6c+/+,188,Las Barbas de San Pedro,6C+
134,Boulderillo,V+,261,El Capricho,V+
135,Bovino porcino,8b,88,Arico,8b
136,Braguitas caladas,6c,261,El Capricho,6c
137,Brin Bryn,7a+,169,Zona Zero,7a+
138,"Brújula, La",V+,250,El Capricho,V+
139,Brutopía,7a,24,Fasnia,7a
140,Bubangos cream,7c+/+,91,Arico,7C+
141,"Buchón del palomar, El Bueno, el feo y el malo, El",7a,211,Las Palomas,7a
142,"Bueno, el feo y el malo, EL",8a,77,Arico,8a
143,"Búho, El",V,47,Tamadaya,V
144,Buscando enemigos,"7c+,?,7a, 6b",239,Guaria,"7c+,?,7a, 6b"
145,Cabecita loca,¿?,197,Las Vegas,NA
146,Cabeza de perro,6c+,23,Fasnia,6c+
147,Cabo cañaveral dcha,6c+,93,Arico,6c+
148,Cabo canaveral izda.,6c+,93,Arico,6c+
149,"Cabra loca, La",v,219,La Martela,v
150,Cabrolina,7b+,88,Arico,7b+
151,Café caliente y duro,6b+,237,Guaria,6b+
152,Caldo paloma,6c+,208,Las Palomas,6c+
153,Callejón escuro,6b,260,El Capricho,6b
154,"Calvario del Camborio, ElI",7c/+,88,Arico,7C+
155,Calzoncillo sospechoso,6b+,197,Las Vegas,6b+
156,Calzoncillos alondrados,6a+,51,Tamadaya,6a+
157,Cambio generacional,7c,63,Planeta Zarza,7c
158,Caminante no hay camino,6b,45,Tamadaya,6b
159,"Camino de las palomas, El",6a,115,La Fuente,6a
160,"Camino de los escoceses, EI",6b,171,Zona Zero,6b
161,"Camino de los ingleses, El",6b+,171,Zona Zero,6b+
162,"Camión de la basura, El",6c,252,El Capricho,6c
163,Canal pop,6c+,106,Los Naranjos,6c+
164,"Canalillo, El",6c,162,El Río,6c
165,"Canalizo, EI",v,250,El Capricho,v
166,"Canalón del guiri, El",6a,262,El Capricho,6a
167,Canalón penetrante,IV+,249,El Capricho,IV+
168,Canarian creek,7a+,60,Planeta Zarza,7a+
169,Canarina - Canadiensis,V-,133,Fantasma,V-
170,Canarios a la vizcaina,7b+,91,Arico,7b+
171,Cando 37,7c+,91,Arico,7c+
172,"Canto de la peseta, El",6c,200,Las Vegas,6c
173,Cantrans,7B+,237,Guaria,7B+
174,"Capricho del nene, El",6a,261,El Capricho,6a
175,Capricornio,V+,230,Guaria,V+
176,Capsulitis,6c,75,Arico,6c
177,Capullos evolutivos,6a+,153,El Río,6a+
178,"Cara del mono, La",7b+,99,Arico,7b+
179,"Cara del mono, La",6c,251,El Capricho,6c
180,"Carabela del placer, La",6b+,93,Arico,6b+
181,"Caravela del sur, La",6b,37,La Galería,6b
182,"Cardoncillo, El",V,127,Fantasma,V
183,"Cardumen, El",6a+,126,Fantasma,6a+
184,Caricias cefalopadas,6a,50,Tamadaya,6a
185,Carles Puigdemont,8b+/+,240,Guaria,8B+
186,"Carnal 08, La",6c,207,Las Palomas,6c
187,Carnaval amargo,IV,218,La Martela,IV
188,Carnaval Guaria,8a,240,Guaria,8a
189,Carnet de piloto,6b+,127,Fantasma,6b+
190,"Cartuchos, Los",6c+,39,La Galería,6c+
191,Carvi,6c,128,Fantasma,6c
192,Casca la basca,6a,84,Arico,6a
193,Casi imosible,6c+,123,Fantasma,6c+
194,Casi me mato,7b,162,El Río,7b
195,Casper,6c+,129,Fantasma,6c+
196,"Cazoletas, Las",V,159,El Río,V
197,"Cedro, El",6a,47,Tamadaya,6a
198,Cefalópodo,7b+,94,Arico,7b+
199,"Central, La",6c+,155,El Río,6c+
200,"Cepillo martillo, EI",6b,207,Las Palomas,6b
201,Cenicalia,6b,145,Hoyo,6b
202,Cero a la izquierda,6a,260,El Capricho,6a
203,Cero en indioma,IV+,182,Las Barbas de San Pedro,IV+
204,Cero energético,6b,247,El Capricho,6b
205,Cerys Davies,7a,162,El Río,7a
206,"Chacha, La",6a,26,Fasnia,6a
207,Chafran,6c,116,La Fuente,6c
208,Chain bicicleta,7b+,253,El Capricho,7b+
209,Chalk less; climb more,6b+,59,Planeta Zarza,6b+
210,Chamoy,6a+,113,La Fuente,6a+
211,Chamoy II,6a+/+,113,La Fuente,6A+
212,Chamoy III,6b,116,La Fuente,6b
